,county_state,UV
704,Kosciusko_IN,3851
705,LaGrange_IN,3821
706,Lake_IN,3888
707,LaPorte_IN,3849
708,Lawrence_IN,4137
709,Madison_IN,3983
710,Marion_IN,4059
711,Marshall_IN,3850
712,Martin_IN,4157
713,Miami_IN,3914
714,Monroe_IN,4123
715,Montgomery_IN,4045
716,Morgan_IN,4101
717,Newton_IN,3937
718,Noble_IN,3835
719,Ohio_IN,4033
720,Orange_IN,4148
721,Owen_IN,4123
722,Parke_IN,4086
723,Perry_IN,4175
724,Pike_IN,4187
725,Porter_IN,3871
726,Posey_IN,4232
727,Pulaski_IN,3900
728,Putnam_IN,4090
729,Randolph_IN,3945
730,Ripley_IN,4041
731,Rush_IN,4022
732,St. Joseph_IN,3826
733,Scott_IN,4102
734,Shelby_IN,4060
735,Spencer_IN,4198
736,Starke_IN,3870
737,Steuben_IN,3826
738,Sullivan_IN,4154
739,Switzerland_IN,4042
740,Tippecanoe_IN,3999
741,Tipton_IN,3980
742,Union_IN,3986
743,Vanderburgh_IN,4220
744,Vermillion_IN,4081
745,Vigo_IN,4126
746,Wabash_IN,3897
747,Warren_IN,4014
748,Warrick_IN,4205
749,Washington_IN,4123
750,Wayne_IN,3971
751,Wells_IN,3897
752,White_IN,3946
753,Whitley_IN,3857
754,Adair_IA,4134
755,Adams_IA,4161
756,Allamakee_IA,3888
757,Appanoose_IA,4159
758,Audubon_IA,4112
759,Benton_IA,3997
760,Black Hawk_IA,3970
761,Boone_IA,4077
762,Bremer_IA,3941
763,Buchanan_IA,3952
764,Buena Vista_IA,4045
765,Butler_IA,3969
766,Calhoun_IA,4062
767,Carroll_IA,4088
768,Cass_IA,4142
769,Cedar_IA,3994
770,Cerro Gordo_IA,3964
771,Cherokee_IA,4057
772,Chickasaw_IA,3914
773,Clarke_IA,4155
774,Clay_IA,4023
775,Clayton_IA,3916
776,Clinton_IA,3967
777,Crawford_IA,4098
778,Dallas_IA,4110
779,Davis_IA,4146
780,Decatur_IA,4177
781,Delaware_IA,3941
782,Des Moines_IA,4081
783,Dickinson_IA,4003
784,Dubuque_IA,3933
785,Emmet_IA,3995
786,Fayette_IA,3918
787,Floyd_IA,3940
788,Franklin_IA,3990
789,Fremont_IA,4208
790,Greene_IA,4086
791,Grundy_IA,3997
792,Guthrie_IA,4111
793,Hamilton_IA,4040
794,Hancock_IA,3986
795,Hardin_IA,4020
796,Harrison_IA,4144
797,Henry_IA,4090
798,Howard_IA,3888
799,Humboldt_IA,4026
800,Ida_IA,4077
801,Iowa_IA,4037
802,Jackson_IA,3949
803,Jasper_IA,4080
804,Jefferson_IA,4101
805,Johnson_IA,4022
806,Jones_IA,3964
807,Keokuk_IA,4079
808,Kossuth_IA,3996
809,Lee_IA,4125
810,Linn_IA,3983
811,Louisa_IA,4055
812,Lucas_IA,4147
813,Lyon_IA,4042
814,Madison_IA,4134
815,Mahaska_IA,4098
816,Marion_IA,4117
817,Marshall_IA,4042
818,Mills_IA,4186
819,Mitchell_IA,3913
820,Monona_IA,4123
821,Monroe_IA,4134
822,Montgomery_IA,4170
823,Muscatine_IA,4022
824,O'Brien_IA,4034
825,Osceola_IA,4015
826,Page_IA,4193
827,Palo Alto_IA,4014
828,Plymouth_IA,4084
829,Pocahontas_IA,4038
830,Polk_IA,4100
831,Pottawattamie_IA,4159
832,Poweshiek_IA,4055
833,Ringgold_IA,4179
834,Sac_IA,4068
835,Scott_IA,3988
836,Shelby_IA,4122
837,Sioux_IA,4059
838,Story_IA,4063
839,Tama_IA,4016
840,Taylor_IA,4183
841,Union_IA,4156
842,Van Buren_IA,4131
843,Wapello_IA,4120
844,Warren_IA,4130
845,Washington_IA,4060
846,Wayne_IA,4169
847,Webster_IA,4050
848,Winnebago_IA,3965
849,Winneshiek_IA,3886
850,Woodbury_IA,4100
851,Worth_IA,3941
852,Wright_IA,4012
853,Allen_KS,4360
854,Anderson_KS,4340
855,Atchison_KS,4271
856,Barber_KS,4753
857,Barton_KS,4664
858,Bourbon_KS,4354
859,Brown_KS,4261
860,Butler_KS,4471
861,Chase_KS,4413
862,Chautauqua_KS,4464
863,Cherokee_KS,4395
864,Cheyenne_KS,4669
865,Clark_KS,4876
866,Clay_KS,4415
867,Cloud_KS,4460
868,Coffey_KS,4355
869,Comanche_KS,4823
870,Cowley_KS,4511
871,Crawford_KS,4373
872,Decatur_KS,4638
873,Dickinson_KS,4445
874,Doniphan_KS,4255
875,Douglas_KS,4305
876,Edwards_KS,4777
877,Elk_KS,4440
878,Ellis_KS,4684
879,Ellsworth_KS,4581
880,Finney_KS,4873
881,Ford_KS,4848
882,Franklin_KS,4322
883,Geary_KS,4391
884,Gove_KS,4763
885,Graham_KS,4673
886,Grant_KS,4937
887,Gray_KS,4883
888,Greeley_KS,4853
889,Greenwood_KS,4411
890,Hamilton_KS,4912
891,Harper_KS,4678
892,Harvey_KS,4527
893,Haskell_KS,4916
894,Hodgeman_KS,4821
895,Jackson_KS,4291
896,Jefferson_KS,4287
897,Jewell_KS,4496
898,Johnson_KS,4300
899,Kearny_KS,4898
900,Kingman_KS,4655
901,Kiowa_KS,4796
902,Labette_KS,4405
903,Lane_KS,4813
904,Leavenworth_KS,4287
905,Lincoln_KS,4559
906,Linn_KS,4335
907,Logan_KS,4788
908,Lyon_KS,4367
909,McPherson_KS,4533
910,Marion_KS,4465
911,Marshall_KS,4322
912,Meade_KS,4913
913,Miami_KS,4316
914,Mitchell_KS,4532
915,Montgomery_KS,4427
916,Morris_KS,4394
917,Morton_KS,4979
918,Nemaha_KS,4282
919,Neosho_KS,4381
920,Ness_KS,4782
921,Norton_KS,4616
922,Osage_KS,4330
923,Osborne_KS,4590
924,Ottawa_KS,4486
925,Pawnee_KS,4746
926,Phillips_KS,4588
927,Pottawatomie_KS,4331
928,Pratt_KS,4725
929,Rawlins_KS,4656
930,Reno_KS,4620
931,Republic_KS,4433
932,Rice_KS,4606
933,Riley_KS,4372
934,Rooks_KS,4637
935,Rush_KS,4723
936,Russell_KS,4630
937,Saline_KS,4511
938,Scott_KS,4833
939,Sedgwick_KS,4557
940,Seward_KS,4940
941,Shawnee_KS,4312
942,Sheridan_KS,4699
943,Sherman_KS,4731
944,Smith_KS,4548
945,Stafford_KS,4696
946,Stanton_KS,4954
947,Stevens_KS,4959
948,Sumner_KS,4595
949,Thomas_KS,4719
950,Trego_KS,4728
951,Wabaunsee_KS,4341
952,Wallace_KS,4797
953,Washington_KS,4376
954,Wichita_KS,4845
955,Wilson_KS,4402
956,Woodson_KS,4378
957,Wyandotte_KS,4291
958,Adair_KY,4138
959,Allen_KY,4210
960,Anderson_KY,4080
961,Ballard_KY,4335
962,Barren_KY,4183
963,Bath_KY,3998
964,Bell_KY,4099
965,Boone_KY,4015
966,Bourbon_KY,4021
967,Boyd_KY,3939
968,Boyle_KY,4088
969,Bracken_KY,3987
970,Breathitt_KY,4029
971,Breckinridge_KY,4175
972,Bullitt_KY,4126
973,Butler_KY,4218
974,Caldwell_KY,4281
975,Calloway_KY,4332
976,Campbell_KY,3995
977,Carlisle_KY,4348
978,Carroll_KY,4060
979,Carter_KY,3951
980,Casey_KY,4106
981,Christian_KY,4276
982,Clark_KY,4032
983,Clay_KY,4070
984,Clinton_KY,4151
985,Crittenden_KY,4279
986,Cumberland_KY,4163
987,Daviess_KY,4215
988,Edmonson_KY,4190
989,Elliott_KY,3969
990,Estill_KY,4042
991,Fayette_KY,4044
992,Fleming_KY,3979
993,Floyd_KY,4018
994,Franklin_KY,4063
995,Fulton_KY,4379
996,Gallatin_KY,4038
997,Garrard_KY,4072
998,Grant_KY,4023
999,Graves_KY,4343
