,county_state,poppct_urban,poppct_rural
491,Murray_GA,29.87,70.13
492,Muscogee_GA,97.02,2.98
493,Newton_GA,68.76,31.24
494,Oconee_GA,49.68,50.32
495,Oglethorpe_GA,0.75,99.25
496,Paulding_GA,79.95,20.05
497,Peach_GA,61.78,38.22
498,Pickens_GA,26.9,73.1
499,Pierce_GA,20.65,79.35
500,Pike_GA,1.04,98.96
501,Polk_GA,48.58,51.42
502,Pulaski_GA,33.3,66.7
503,Putnam_GA,19.05,80.95
504,Quitman_GA,26.9,73.1
505,Rabun_GA,20.72,79.28
506,Randolph_GA,49.37,50.63
507,Richmond_GA,90.78,9.22
508,Rockdale_GA,85.07,14.93
509,Schley_GA,0.0,100.0
510,Screven_GA,21.08,78.92
511,Seminole_GA,31.45,68.55
512,Spalding_GA,58.38,41.62
513,Stephens_GA,41.44,58.56
514,Stewart_GA,0.0,100.0
515,Sumter_GA,58.22,41.78
516,Talbot_GA,6.12,93.88
517,Taliaferro_GA,0.0,100.0
518,Tattnall_GA,31.76,68.24
519,Taylor_GA,0.0,100.0
520,Telfair_GA,53.01,46.99
521,Terrell_GA,47.94,52.06
522,Thomas_GA,53.98,46.02
523,Tift_GA,59.22,40.78
524,Toombs_GA,48.94,51.06
525,Towns_GA,0.0,100.0
526,Treutlen_GA,41.13,58.87
527,Troup_GA,55.7,44.3
528,Turner_GA,50.27,49.73
529,Twiggs_GA,0.0,100.0
530,Union_GA,0.0,100.0
531,Upson_GA,53.09,46.91
532,Walker_GA,56.15,43.85
533,Walton_GA,57.34,42.66
534,Ware_GA,70.56,29.44
535,Warren_GA,0.0,100.0
536,Washington_GA,34.4,65.6
537,Wayne_GA,42.06,57.94
538,Webster_GA,0.0,100.0
539,Wheeler_GA,0.0,100.0
540,White_GA,16.21,83.79
541,Whitfield_GA,70.92,29.08
542,Wilcox_GA,0.0,100.0
543,Wilkes_GA,32.63,67.37
544,Wilkinson_GA,0.0,100.0
545,Worth_GA,30.84,69.16
546,Hawaii_HI,62.01,37.99
547,Honolulu_HI,99.14,0.86
548,Kalawao_HI,0.0,100.0
549,Kauai_HI,87.14,12.86
550,Maui_HI,85.43,14.57
551,Ada_ID,94.53,5.47
552,Adams_ID,0.0,100.0
553,Bannock_ID,84.27,15.73
554,Bear Lake_ID,0.0,100.0
555,Benewah_ID,28.09,71.91
556,Bingham_ID,43.97,56.03
557,Blaine_ID,67.23,32.77
558,Boise_ID,0.0,100.0
559,Bonner_ID,27.55,72.45
560,Bonneville_ID,87.05,12.95
561,Boundary_ID,23.82,76.18
562,Butte_ID,0.0,100.0
563,Camas_ID,0.0,100.0
564,Canyon_ID,80.13,19.87
565,Caribou_ID,40.11,59.89
566,Cassia_ID,48.49,51.51
567,Clark_ID,0.0,100.0
568,Clearwater_ID,41.39,58.61
569,Custer_ID,0.0,100.0
570,Elmore_ID,73.12,26.88
